"location","total_vaccinations","cum_total_vaccinations"
"Armenia","2021-05-23",57103
"Armenia","2021-05-30",90632
"Armenia","2021-06-06",137135
"Armenia","2021-06-14",192692
"Aruba","2021-03-29",25766
"Aruba","2021-04-10",66862
"Aruba","2021-04-12",109935
"Aruba","2021-04-13",155523
"Aruba","2021-04-14",203723
"Aruba","2021-04-15",254269
"Aruba","2021-04-16",307224
"Aruba","2021-04-17",362806
"Aruba","2021-04-18",418457
"Aruba","2021-04-19",476635
"Aruba","2021-04-20",537014
"Aruba","2021-04-21",599356
"Aruba","2021-04-22",663644
"Aruba","2021-04-23",731594
"Aruba","2021-04-24",800873
"Aruba","2021-04-25",873976
"Aruba","2021-04-26",947336
"Aruba","2021-04-28",1022004
"Aruba","2021-04-29",1097850
"Aruba","2021-04-30",1174715
"Aruba","2021-05-03",1252443
"Aruba","2021-05-04",1331399
"Aruba","2021-05-05",1410901
"Aruba","2021-05-06",1490454
"Aruba","2021-05-07",1570712
"Aruba","2021-05-08",1651411
"Aruba","2021-05-10",1733027
"Aruba","2021-05-11",1815904
"Aruba","2021-05-12",1900143
"Aruba","2021-05-13",1985584
"Aruba","2021-05-14",2073120
"Aruba","2021-05-15",2161722
"Aruba","2021-05-17",2252728
"Aruba","2021-05-18",2346462
"Aruba","2021-05-19",2442469
"Aruba","2021-05-20",2540390
"Aruba","2021-05-21",2640393
"Aruba","2021-05-22",2743788
"Aruba","2021-05-23",2852259
"Aruba","2021-05-24",2962015
"Aruba","2021-05-25",3073392
"Aruba","2021-05-26",3185057
"Aruba","2021-05-27",3297373
"Aruba","2021-05-28",3410471
"Aruba","2021-05-29",3524133
"Aruba","2021-05-31",3638287
"Aruba","2021-06-01",3752919
"Aruba","2021-06-02",3868063
"Aruba","2021-06-03",3984626
"Aruba","2021-06-04",4101203
"Aruba","2021-06-06",4217782
"Aruba","2021-06-07",4334818
"Aruba","2021-06-08",4452514
"Aruba","2021-06-09",4570830
"Aruba","2021-06-10",4689703
"Aruba","2021-06-11",4809098
"Aruba","2021-06-12",4930569
"Aruba","2021-06-14",5052443
"Aruba","2021-06-15",5174712
"Aruba","2021-06-16",5297392
"Aruba","2021-06-17",5420507
"Aruba","2021-06-18",5544078
"Aruba","2021-06-20",5667968
"Aruba","2021-06-21",5792281
"Australia","2021-02-22",20
"Australia","2021-02-23",2899
"Australia","2021-02-24",9807
"Australia","2021-02-25",27307
"Australia","2021-02-26",52307
"Australia","2021-02-27",82307
"Australia","2021-02-28",114201
"Australia","2021-03-01",147903
"Australia","2021-03-02",189810
"Australia","2021-03-03",240650
"Australia","2021-03-04",301658
"Australia","2021-03-05",373525
"Australia","2021-03-06",450465
"Australia","2021-03-07",531810
"Australia","2021-03-08",618179
"Australia","2021-03-09",713087
"Australia","2021-03-10",819287
"Australia","2021-03-11",944287
"Australia","2021-03-12",1079390
"Australia","2021-03-13",1238684
"Australia","2021-03-14",1401235
"Australia","2021-03-15",1566016
"Australia","2021-03-16",1748453
"Australia","2021-03-17",1952010
"Australia","2021-03-18",2178067
"Australia","2021-03-19",2418821
"Australia","2021-03-20",2672652
"Australia","2021-03-21",2929671
"Australia","2021-03-22",3211855
"Australia","2021-03-23",3519380
"Australia","2021-03-24",3874634
"Australia","2021-03-25",4283044
"Australia","2021-03-26",4743199
"Australia","2021-03-27",5249664
"Australia","2021-03-28",5761184
"Australia","2021-03-29",6302945
"Australia","2021-03-30",6900468
"Australia","2021-03-31",7570817
"Australia","2021-04-01",8315145
"Australia","2021-04-02",9138756
"Australia","2021-04-03",9967172
"Australia","2021-04-04",10810354
"Australia","2021-04-05",11654663
"Australia","2021-04-06",12509646
"Australia","2021-04-07",13429980
"Australia","2021-04-08",14426125
"Australia","2021-04-09",15503636
"Australia","2021-04-10",16642502
"Australia","2021-04-11",17809070
"Australia","2021-04-12",18987372
"Australia","2021-04-13",20222053
"Australia","2021-04-14",21517725
"Australia","2021-04-15",22877390
"Australia","2021-04-16",24297967
"Australia","2021-04-17",25772525
"Australia","2021-04-18",27269437
"Australia","2021-04-19",28855993
"Australia","2021-04-20",30509279
"Australia","2021-04-21",32227386
"Australia","2021-04-22",34012724
"Australia","2021-04-23",35868325
"Australia","2021-04-24",37782372
"Australia","2021-04-25",39716449
"Australia","2021-04-26",41653934
"Australia","2021-04-27",43623271
"Australia","2021-04-28",45652815
"Australia","2021-04-29",47765100
"Australia","2021-04-30",49944644
"Australia","2021-05-01",52179488
"Australia","2021-05-02",54433562
"Australia","2021-05-03",56694177
"Australia","2021-05-04",59011146
"Australia","2021-05-05",61407460
"Australia","2021-05-06",63880989
"Australia","2021-05-07",66435520
"Australia","2021-05-08",69063245
"Australia","2021-05-09",71717583
"Australia","2021-05-10",74380804
"Australia","2021-05-11",77116911
"Australia","2021-05-12",79929397
