"location","vaccines_name"
"Saint Vincent and the Grenadines","Oxford/AstraZeneca"
"Samoa","Oxford/AstraZeneca"
"San Marino","Pfizer/BioNTech"
"San Marino","Sputnik V"
"Sao Tome and Principe","Oxford/AstraZeneca"
"Saudi Arabia","Oxford/AstraZeneca"
"Saudi Arabia","Pfizer/BioNTech"
"Scotland","Moderna"
"Scotland","Oxford/AstraZeneca"
"Scotland","Pfizer/BioNTech"
"Senegal","BBIBP-CorV"
"Senegal","Oxford/AstraZeneca"
"Serbia","Oxford/AstraZeneca"
"Serbia","Pfizer/BioNTech"
"Serbia","Sinopharm/Beijing"
"Serbia","Sputnik V"
"Seychelles","Oxford/AstraZeneca"
"Seychelles","Sinopharm/Beijing"
"Sierra Leone","BBIBP-CorV"
"Sierra Leone","Oxford/AstraZeneca"
"Singapore","Moderna"
"Singapore","Pfizer/BioNTech"
"Sint Maarten (Dutch part)","Moderna"
"Sint Maarten (Dutch part)","Oxford/AstraZeneca"
"Sint Maarten (Dutch part)","Pfizer/BioNTech"
"Slovakia","Moderna"
"Slovakia","Oxford/AstraZeneca"
"Slovakia","Pfizer/BioNTech"
"Slovenia","Oxford/AstraZeneca"
"Slovenia","Pfizer/BioNTech"
"Solomon Islands","Oxford/AstraZeneca"
"Somalia","BBIBP-CorV"
"Somalia","Oxford/AstraZeneca"
"Somalia","Sinovac"
"South Africa","Johnson&Johnson"
"South Africa","Pfizer/BioNTech"
"South Korea","Johnson&Johnson"
"South Korea","Moderna"
"South Korea","Oxford/AstraZeneca"
"South Korea","Pfizer/BioNTech"
"South Sudan","Oxford/AstraZeneca"
"Spain","Johnson&Johnson"
"Spain","Moderna"
"Spain","Oxford/AstraZeneca"
"Spain","Pfizer/BioNTech"
"Sri Lanka","Oxford/AstraZeneca"
"Sri Lanka","Sinopharm/Beijing"
"Sri Lanka","Sputnik V"
"Sudan","BBIBP-CorV"
"Sudan","Oxford/AstraZeneca"
"Sudan","Pfizer/BioNTech"
"Sudan","Sinovac"
"Suriname","Oxford/AstraZeneca"
"Sweden","Oxford/AstraZeneca"
"Sweden","Pfizer/BioNTech"
"Switzerland","Moderna"
"Switzerland","Pfizer/BioNTech"
"Syria","Oxford/AstraZeneca"
"Syria","Sinopharm/Beijing"
"Syria","Sputnik V"
"Taiwan","Moderna"
"Taiwan","Oxford/AstraZeneca"
"Tajikistan","Oxford/AstraZeneca"
"Thailand","Oxford/AstraZeneca"
"Thailand","Sinovac"
"Timor-Leste","Oxford/AstraZeneca"
"Timor-Leste","Sinovac"
"Togo","Oxford/AstraZeneca"
"Tonga","Oxford/AstraZeneca"
"Trinidad and Tobago","Oxford/AstraZeneca"
"Tunisia","Oxford/AstraZeneca"
"Tunisia","Pfizer/BioNTech"
"Tunisia","Sinovac"
"Tunisia","Sputnik V"
"Turkey","Pfizer/BioNTech"
"Turkey","Sinovac"
"Turkmenistan","EpiVacCorona"
"Turkmenistan","Oxford/AstraZeneca"
"Turkmenistan","Sinopharm/Beijing"
"Turkmenistan","Sputnik V"
"Turks and Caicos Islands","Pfizer/BioNTech"
"Tuvalu","Oxford/AstraZeneca"
"Uganda","Oxford/AstraZeneca"
"Ukraine","Oxford/AstraZeneca"
"Ukraine","Pfizer/BioNTech"
"Ukraine","Sinovac"
"United Arab Emirates","Oxford/AstraZeneca"
"United Arab Emirates","Pfizer/BioNTech"
"United Arab Emirates","Sinopharm/Beijing"
"United Arab Emirates","Sinopharm/Wuhan"
"United Arab Emirates","Sputnik V"
"United Kingdom","Moderna"
"United Kingdom","Oxford/AstraZeneca"
"United Kingdom","Pfizer/BioNTech"
"United States","Johnson&Johnson"
"United States","Moderna"
"United States","Pfizer/BioNTech"
"Uruguay","Oxford/AstraZeneca"
"Uruguay","Pfizer/BioNTech"
"Uruguay","Sinovac"
"Uzbekistan","Oxford/AstraZeneca"
"Uzbekistan","RBD-Dimer"
"Uzbekistan","Sputnik V"
"Vanuatu","Oxford/AstraZeneca"
"Venezuela","BBIBP-CorV"
"Venezuela","Sputnik V"
"Vietnam","Oxford/AstraZeneca"
"Wales","Moderna"
"Wales","Oxford/AstraZeneca"
"Wales","Pfizer/BioNTech"
"Wallis and Futuna","Oxford/AstraZeneca"
"Yemen","Oxford/AstraZeneca"
"Zambia","Oxford/AstraZeneca"
"Zambia","Sinopharm/Beijing"
"Zimbabwe","Sinopharm/Beijing"
